Name,Tags,Server end time,Duration,g_mean,population,generations,crossover,factor
d699cab4c7044f219e882e32f998982c,MultinomialNB,1601923075232,6,0.789642,46,82,0.8373,0.3984
ce6025a2995849c7a56fc381fe25b154,MultinomialNB,1601923074751,6,0.789642,46,82,0.8373,0.3984
75e2c2b7d38c4e8aa697ca69126ec588,MultinomialNB,1601923066001,7,0.789642,46,82,0.8373,0.3984
1bedc696a8584b07bfc684094b395cdd,MultinomialNB,1601923065433,7,0.789642,46,82,0.8373,0.3984
18acb73aa9dc4423bf3d850977bd58c0,MultinomialNB,1601923055202,6,0.789642,46,82,0.8373,0.3984
59f6063ddac84a819410bca85776724e,MultinomialNB,1601923054952,6,0.789642,46,82,0.8373,0.3984
8216aca26c96485297b6f55866261d87,MultinomialNB,1601923045930,5,0.789642,46,82,0.8373,0.3984
d17d86ae95f64a1f8f49e82b0e361de5,MultinomialNB,1601923045763,5,0.789642,46,82,0.8373,0.3984
9cfc3bd25d334adeb18f8392bbbf2f6f,MultinomialNB,1601923036308,6,0.789642,46,82,0.8373,0.3984
ce755fa8af30436dafe6e89e6e663048,MultinomialNB,1601923035929,6,0.789642,46,82,0.8373,0.3984
0faf5c3ee3c64da2a894e8db6d153226,MultinomialNB,1601923026936,8,0.789642,46,82,0.8373,0.3984
cc3adf94eecf481a9fc103f8e758e16b,MultinomialNB,1601923158860,8,0.789642,46,82,0.8373,0.3984
d1d8463d5c574bc194a0371a4d7403b4,MultinomialNB,1601923159049,9,0.789642,46,82,0.8373,0.3984
6d9f471f6db94f5892bc9f8f7c3bcb13,DecisionTreeClassifier,1601923757336,73,0.68621,32,89,0.4073,1.1551
33e21b7b99ef4efa8d3291e738091e51,DecisionTreeClassifier,1601923408317,71,0.692603,32,89,0.4073,1.1551
701c13f3d9f247efb4f84ae03e11601d,DecisionTreeClassifier,1601923848122,86,0.6927840000000001,32,89,0.4073,1.1551
92ed781a818d4749a32f11832d70c18c,DecisionTreeClassifier,1601924227499,51,0.700995,32,89,0.4073,1.1551
0b3e3a36a0c049029dfe38ea8fde6478,DecisionTreeClassifier,1601924118563,51,0.701645,32,89,0.4073,1.1551
632c63f6b286499b93096813041b7e0f,DecisionTreeClassifier,1601923997089,71,0.705587,32,89,0.4073,1.1551
a32fe1f9703d41cc9fd31faba0e7d41b,DecisionTreeClassifier,1601923923129,69,0.70733,32,89,0.4073,1.1551
1981742d992d43fe91dd91e203539563,DecisionTreeClassifier,1601924063895,64,0.707601,32,89,0.4073,1.1551
